FlightCode,PF,Pax,Fuel,DeIce,Route,ToDay,minU1,minU2,minU3,minU4,minXC,ArrRwy,DepRwy,LdgDay,LiftSW,P1Code,P2Code,P3Code,P4Code,Report,TagOps,ToEdit,minAIR,minCOP,minIFR,minIMT,minPIC,minREL,minSFR,ArrCode,DateUTC,DepCode,HobbsIn,Holding,Pairing,Remarks,SignBox,ToNight,UserNum,minDUAL,minEXAM,CrewList,DateBASE,FuelUsed,HobbsOut,LdgNight,NextPage,TagDelay,Training,UserBool,UserText,minINSTR,minNIGHT,minPICUS,minTOTAL,ArrOffset,DateLOCAL,DepOffset,TagLaunch,TagLesson,ToTimeUTC,ArrTimeUTC,BaseOffset,DepTimeUTC,LdgTimeUTC,FuelPlanned,NextSummary,TagApproach,AircraftCode,ArrTimeSCHED,DepTimeSCHED,FlightNumber,FlightSearch,Record_Modified
00000000-0000-0000-0000-000001600105,True,0,0,False,,1,0,0,0,0,0,,,1,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600067,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,195,0,195,0,0,00000000-0000-0000-0000-000000017813,2016-07-04,00000000-0000-0000-0000-000000017898,0,0,,,0,0,0,0,0,,2016-07-04,0,0,0,False,,,False,,0,0,0,195,120,2016-07-04,180,,,0,509,120,314,0,0,False,,00000000-0000-0000-0000-000001600036,0,0,TK1917,20160704:1917ISLGVA,1616320991
00000000-0000-0000-0000-000001600106,False,0,0,False,,0,0,0,0,0,0,,,0,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600067,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,182,0,182,0,0,00000000-0000-0000-0000-000000017898,2016-07-05,00000000-0000-0000-0000-000000017813,0,0,,,0,0,0,0,0,,2016-07-05,0,0,0,False,,,False,,0,0,0,182,180,2016-07-05,120,,,0,493,120,311,0,0,False,,00000000-0000-0000-0000-000001000027,0,0,TK1922,20160705:1922GVAISL,1616320991
00000000-0000-0000-0000-000001600107,False,0,0,False,,0,0,0,0,0,0,,,0,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600067,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,116,0,116,0,0,00000000-0000-0000-0000-000000040048,2016-07-05,00000000-0000-0000-0000-000000017898,0,0,,,0,0,0,0,0,,2016-07-05,0,0,0,False,,,False,,0,0,0,116,180,2016-07-05,180,,,0,763,120,647,0,0,False,,00000000-0000-0000-0000-000001600037,0,0,TK2666,20160705:2666ISLNKT,1616320991
00000000-0000-0000-0000-000001600108,False,0,0,False,,0,0,0,0,0,0,,,0,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600067,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,130,0,130,0,0,00000000-0000-0000-0000-000000017898,2016-07-05,00000000-0000-0000-0000-000000040048,0,0,,,0,0,0,0,0,,2016-07-05,0,0,0,False,,,False,,0,0,0,130,180,2016-07-05,180,,,0,950,120,820,0,0,False,,00000000-0000-0000-0000-000001600037,0,0,TK2667,20160705:2667NKTISL,1616320991
00000000-0000-0000-0000-000001600109,False,0,0,False,,0,0,0,0,0,0,,,0,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600068,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,178,0,178,0,0,00000000-0000-0000-0000-000000008984,2016-07-09,00000000-0000-0000-0000-000000017898,0,0,,,0,0,0,0,0,,2016-07-09,0,0,0,False,,,False,,0,0,0,178,120,2016-07-09,180,,,0,1169,120,991,0,0,False,,00000000-0000-0000-0000-000001600015,0,0,TK1709,20160709:1709ISLSTR,1616320991
00000000-0000-0000-0000-000001600110,False,0,0,False,,0,0,0,0,0,0,,,0,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600068,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,190,0,190,0,0,00000000-0000-0000-0000-000000017893,2016-07-09,00000000-0000-0000-0000-000000008984,0,0,,,0,0,0,0,0,,2016-07-09,0,0,0,False,,,False,,0,0,0,190,180,2016-07-09,120,,,0,1415,120,1225,0,0,False,,00000000-0000-0000-0000-000001600015,0,0,TK1712,20160709:1712STRASR,1616320991
00000000-0000-0000-0000-000001600111,False,0,0,False,,0,0,0,0,0,0,,,0,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600069,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,83,0,83,0,0,00000000-0000-0000-0000-000000017898,2016-07-11,00000000-0000-0000-0000-000000017893,0,0,,,0,0,0,0,0,,2016-07-11,0,0,0,False,,,False,,0,0,0,83,180,2016-07-11,180,,,0,247,120,164,0,0,False,,00000000-0000-0000-0000-000000000490,0,0,TK2023,20160711:2023ASRISL,1616320991
00000000-0000-0000-0000-000001600112,False,0,0,False,,0,0,0,0,0,0,,,0,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600068,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,122,0,122,0,0,00000000-0000-0000-0000-000000017685,2016-07-11,00000000-0000-0000-0000-000000017898,0,0,,,0,0,0,0,0,,2016-07-11,0,0,0,False,,,False,,0,0,0,122,120,2016-07-11,180,,,0,511,120,389,0,0,False,,00000000-0000-0000-0000-000001600029,0,0,TK1459,20160711:1459ISLGRZ,1616320991
00000000-0000-0000-0000-000001600113,True,0,0,False,,1,0,0,0,0,0,,,1,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600068,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,136,0,136,0,0,00000000-0000-0000-0000-000000017898,2016-07-11,00000000-0000-0000-0000-000000017685,0,0,,,0,0,0,0,0,,2016-07-11,0,0,0,False,,,False,,0,0,0,136,180,2016-07-11,120,,,0,701,120,565,0,0,False,,00000000-0000-0000-0000-000001600029,0,0,TK1460,20160711:1460GRZISL,1616320991
00000000-0000-0000-0000-000001600114,True,0,0,False,,1,0,0,0,0,0,,,1,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600070,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,85,0,85,0,0,00000000-0000-0000-0000-000000016618,2016-07-12,00000000-0000-0000-0000-000000017898,0,0,,,0,0,0,0,0,,2016-07-12,0,0,0,False,,,False,,0,0,0,85,180,2016-07-12,180,,,0,286,120,201,0,0,False,,00000000-0000-0000-0000-000001600036,0,0,TK960,20160712:960ISLECN,1616320991
00000000-0000-0000-0000-000001600115,False,0,0,False,,0,0,0,0,0,0,,,0,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600070,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,92,0,92,0,0,00000000-0000-0000-0000-000000017898,2016-07-12,00000000-0000-0000-0000-000000016618,0,0,,,0,0,0,0,0,,2016-07-12,0,0,0,False,,,False,,0,0,0,92,180,2016-07-12,180,,,0,433,120,341,0,0,False,,00000000-0000-0000-0000-000001600036,0,0,TK961,20160712:961ECNISL,1616320991
00000000-0000-0000-0000-000001600116,False,0,0,False,,0,0,0,0,0,0,,,0,0,00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000001600070,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,,False,0,0,128,0,128,0,0,00000000-0000-0000-0000-000000017436,2016-07-12,00000000-0000-0000-0000-000000017898,0,0,,,0,0,0,0,0,,2016-07-12,0,0,0,False,,,False,,0,0,0,128,120,2016-07-12,180,,,0,718,120,590,0,0,False,,00000000-0000-0000-0000-000001600038,0,0,TK1865,20160712:1865ISLFCO,1616320991
